response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name,importance_score,frequency_key,budget_key,frequency_score,budget_midpoint_aed,analysis_text
R000157,18-24,female,Al Madam,homemaker,mobile_app,Public transport is limited,Bus service,Rural Transport,5.0,weekly,SMS,0-30 AED,We need better transport options.,2026-06-22,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,0-30 aed,3,0.0,Public transport is limited. Bus service. We need better transport options.
R000158,55+,female,Delma Island,teacher,community_event,Public transport is limited,Bus service,Rural Transport,5.0,weekly,Mobile app,31-50 AED,We need better transport options.,2026-06-29,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Public transport is limited. Bus service. We need better transport options.
R000159,18-24,male,Al Sila,teacher,field_interview,Public transport is limited,Bus service,Rural Transport,5.0,weekly,SMS,100+ AED,We need better transport options.,2026-06-07,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,100+ aed,3,120.0,Public transport is limited. Bus service. We need better transport options.
R000160,18-24,female,Ghayathi,retired,field_interview,Public transport is limited,Bus service,Rural Transport,3.0,weekly,SMS,100+ AED,We need better transport options.,2026-06-05,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,100+ aed,3,120.0,Public transport is limited. Bus service. We need better transport options.
R000161,35-44,female,Liwa,driver,mobile_app,Public transport is limited,Bus service,Rural Transport,5.0,daily,Community center,31-50 AED,We need better transport options.,2026-06-25,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,31-50 aed,4,40.0,Public transport is limited. Bus service. We need better transport options.
R000162,25-34,male,Delma Island,driver,mobile_app,Public transport is limited,Bus service,Rural Transport,5.0,monthly,SMS,100+ AED,We need better transport options.,2026-06-06,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Public transport is limited. Bus service. We need better transport options.
R000164,45-54,male,Al Madam,teacher,qr_survey,Public transport is limited,Bus service,Rural Transport,1.0,daily,Community center,0-30 AED,We need better transport options.,2026-06-17,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,1.0,daily,0-30 aed,4,0.0,Public transport is limited. Bus service. We need better transport options.
R000165,18-24,female,Delma Island,homemaker,community_event,Public transport is limited,Bus service,Rural Transport,3.0,daily,SMS,0-30 AED,We need better transport options.,2026-06-23,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,0-30 aed,4,0.0,Public transport is limited. Bus service. We need better transport options.
R000166,25-34,female,Masafi,teacher,mobile_app,Public transport is limited,Bus service,Rural Transport,3.0,weekly,Mobile app,100+ AED,We need better transport options.,2026-06-02,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,100+ aed,3,120.0,Public transport is limited. Bus service. We need better transport options.
R000168,35-44,female,Al Sila,retired,community_event,Delivery is slow,Grocery delivery,Rural Transport,5.0,monthly,Mobile app,0-30 AED,We need faster grocery delivery in our area.,2026-06-19,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,0-30 aed,2,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000173,35-44,female,Al Sila,retired,qr_survey,Delivery is slow,Grocery delivery,Rural Transport,3.0,monthly,SMS,51-100 AED,We need faster grocery delivery in our area.,2026-06-19,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,51-100 aed,2,75.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000176,25-34,male,Al Madam,farmer,mobile_app,Public transport is limited,Bus service,Rural Transport,3.0,monthly,Mobile app,100+ AED,We need better transport options.,2026-06-10,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,100+ aed,2,120.0,Public transport is limited. Bus service. We need better transport options.
R000179,25-34,female,Masafi,farmer,community_event,Delivery is slow,Grocery delivery,Rural Transport,3.0,monthly,Mobile app,0-30 AED,We need faster grocery delivery in our area.,2026-06-14,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,0-30 aed,2,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000181,18-24,female,Hatta,driver,mobile_app,Delivery is slow,Grocery delivery,Rural Transport,1.0,monthly,Mobile app,31-50 AED,We need faster grocery delivery in our area.,2026-06-11,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,1.0,monthly,31-50 aed,2,40.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000182,35-44,male,Al Sila,retired,qr_survey,Delivery is slow,Grocery delivery,Rural Transport,5.0,monthly,Website,0-30 AED,We need faster grocery delivery in our area.,2026-06-07,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,0-30 aed,2,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000184,18-24,male,Hatta,retired,mobile_app,Public transport is limited,Bus service,Rural Transport,5.0,monthly,SMS,0-30 AED,We need better transport options.,2026-06-07,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,0-30 aed,2,0.0,Public transport is limited. Bus service. We need better transport options.
R000185,18-24,male,Al Madam,driver,community_event,Public transport is limited,Bus service,Rural Transport,5.0,weekly,Mobile app,31-50 AED,We need better transport options.,2026-06-27,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Public transport is limited. Bus service. We need better transport options.
R000186,25-34,female,Al Sila,student,community_event,Delivery is slow,Grocery delivery,Rural Transport,5.0,monthly,Community center,0-30 AED,We need faster grocery delivery in our area.,2026-06-13,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,0-30 aed,2,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000191,35-44,female,Al Sila,teacher,community_event,Public transport is limited,Bus service,Rural Transport,3.0,daily,Community center,0-30 AED,We need better transport options.,2026-06-05,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,0-30 aed,4,0.0,Public transport is limited. Bus service. We need better transport options.
R000192,25-34,female,Al Sila,farmer,field_interview,Public transport is limited,Bus service,Rural Transport,3.0,weekly,Website,51-100 AED,We need better transport options.,2026-06-30,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,51-100 aed,3,75.0,Public transport is limited. Bus service. We need better transport options.
R000195,25-34,female,Al Madam,driver,qr_survey,Public transport is limited,Bus service,Rural Transport,5.0,monthly,Community center,0-30 AED,We need better transport options.,2026-06-04,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,0-30 aed,2,0.0,Public transport is limited. Bus service. We need better transport options.
R000196,18-24,female,Al Sila,driver,mobile_app,Public transport is limited,Bus service,Rural Transport,5.0,monthly,Website,0-30 AED,We need better transport options.,2026-06-19,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,0-30 aed,2,0.0,Public transport is limited. Bus service. We need better transport options.
R000198,25-34,male,Masafi,student,field_interview,Delivery is slow,Grocery delivery,Rural Transport,5.0,daily,Website,31-50 AED,We need faster grocery delivery in our area.,2026-06-08,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,31-50 aed,4,40.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000204,25-34,male,Masafi,teacher,qr_survey,Public transport is limited,Bus service,Rural Transport,5.0,daily,Mobile app,0-30 AED,We need better transport options.,2026-06-12,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,0-30 aed,4,0.0,Public transport is limited. Bus service. We need better transport options.
R000206,18-24,male,Al Madam,homemaker,qr_survey,Delivery is slow,Grocery delivery,Rural Transport,5.0,daily,Community center,100+ AED,We need faster grocery delivery in our area.,2026-06-15,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,100+ aed,4,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000208,25-34,male,Masafi,farmer,qr_survey,Public transport is limited,Bus service,Rural Transport,1.0,weekly,Community center,31-50 AED,We need better transport options.,2026-06-24,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,1.0,weekly,31-50 aed,3,40.0,Public transport is limited. Bus service. We need better transport options.
R000210,35-44,female,Ghayathi,shop owner,field_interview,Delivery is slow,Grocery delivery,Rural Transport,5.0,daily,SMS,31-50 AED,We need faster grocery delivery in our area.,2026-06-27,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,31-50 aed,4,40.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000212,35-44,male,Al Madam,driver,field_interview,Public transport is limited,Bus service,Rural Transport,3.0,weekly,Website,51-100 AED,We need better transport options.,2026-06-08,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,51-100 aed,3,75.0,Public transport is limited. Bus service. We need better transport options.
R000213,35-44,male,Masafi,teacher,community_event,Public transport is limited,Bus service,Rural Transport,5.0,weekly,Community center,51-100 AED,We need better transport options.,2026-06-23,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,51-100 aed,3,75.0,Public transport is limited. Bus service. We need better transport options.
R000214,35-44,male,Al Madam,farmer,community_event,Public transport is limited,Bus service,Rural Transport,5.0,daily,Community center,0-30 AED,We need better transport options.,2026-06-04,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,0-30 aed,4,0.0,Public transport is limited. Bus service. We need better transport options.
R000217,18-24,female,Delma Island,driver,qr_survey,Public transport is limited,Bus service,Rural Transport,5.0,daily,Community center,51-100 AED,We need better transport options.,2026-06-25,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,51-100 aed,4,75.0,Public transport is limited. Bus service. We need better transport options.
R000220,35-44,male,Al Madam,farmer,mobile_app,Public transport is limited,Bus service,Rural Transport,3.0,weekly,Mobile app,100+ AED,We need better transport options.,2026-06-18,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,100+ aed,3,120.0,Public transport is limited. Bus service. We need better transport options.
R000224,55+,female,Al Sila,retired,community_event,Delivery is slow,Grocery delivery,Rural Transport,5.0,monthly,Community center,0-30 AED,We need faster grocery delivery in our area.,2026-06-14,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,0-30 aed,2,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000228,35-44,male,Masafi,teacher,mobile_app,Delivery is slow,Grocery delivery,Rural Transport,1.0,weekly,Community center,31-50 AED,We need faster grocery delivery in our area.,2026-06-11,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,1.0,weekly,31-50 aed,3,40.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000229,25-34,female,Ghayathi,farmer,community_event,Public transport is limited,Bus service,Rural Transport,5.0,monthly,SMS,100+ AED,We need better transport options.,2026-06-30,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Public transport is limited. Bus service. We need better transport options.
R000230,45-54,female,Masafi,homemaker,qr_survey,Public transport is limited,Bus service,Rural Transport,3.0,weekly,SMS,100+ AED,We need better transport options.,2026-06-03,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,100+ aed,3,120.0,Public transport is limited. Bus service. We need better transport options.
R000234,55+,female,Liwa,shop owner,community_event,Public transport is limited,Bus service,Rural Transport,3.0,daily,Website,0-30 AED,We need better transport options.,2026-06-12,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,0-30 aed,4,0.0,Public transport is limited. Bus service. We need better transport options.
R000236,55+,male,Liwa,teacher,mobile_app,Public transport is limited,Bus service,Rural Transport,5.0,weekly,SMS,51-100 AED,We need better transport options.,2026-06-27,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,51-100 aed,3,75.0,Public transport is limited. Bus service. We need better transport options.
R000238,25-34,male,Al Madam,retired,qr_survey,Delivery is slow,Grocery delivery,Rural Transport,3.0,weekly,Website,100+ AED,We need faster grocery delivery in our area.,2026-06-10,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,100+ aed,3,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000248,18-24,female,Liwa,retired,field_interview,Delivery is slow,Grocery delivery,Rural Transport,3.0,daily,Community center,100+ AED,We need faster grocery delivery in our area.,2026-06-21,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,100+ aed,4,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
