response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,current_solution,satisfaction_level,would_pay,monthly_budget,urgency_level,frequency_of_problem,preferred_solution_type,opinion_text,date_collected,importance_key,satisfaction_key,would_pay_key,urgency_key,frequency_key,budget_key,importance_score,satisfaction_score,would_pay_score,urgency_score,frequency_score,budget_midpoint_aed,pain_score,analysis_text
R000106,55+,Female,Al Madam,Driver,shop_owner_note,No nearby appliance repair,Mobile repair technician,Repair,High,Wait several days,Neutral,Maybe,0 AED,Not urgent,Monthly,Delivery service,It is hard to find someone nearby to repair appliances.,2026-05-30,high,neutral,maybe,not urgent,monthly,0 aed,5,3,0.5,1,2,0,3,No nearby appliance repair. Mobile repair technician. Wait several days. It is hard to find someone nearby to repair appliances.
R000109,55+,Prefer Not To Say,Al Madam,Tourism Worker,qr_survey,No nearby appliance repair,Home appliance repair,Repair,High,Replace item,Dissatisfied,No,0 AED,Soon,Monthly,WhatsApp,Home maintenance is expensive because providers are far away.,2026-06-06,high,dissatisfied,no,soon,monthly,0 aed,5,2,0.0,3,2,0,4,No nearby appliance repair. Home appliance repair. Replace item. Home maintenance is expensive because providers are far away.
R000118,35-44,Female,Al Madam,Employee,interview,Hard to find trusted technicians,Mobile repair technician,Repair,Medium,Replace item,Satisfied,No,0 AED,Soon,Daily,Delivery service,Home maintenance is expensive because providers are far away.,2026-05-27,medium,satisfied,no,soon,daily,0 aed,3,4,0.0,3,4,0,2,Hard to find trusted technicians. Mobile repair technician. Replace item. Home maintenance is expensive because providers are far away.
R000125,45-54,Male,Khor Fakkan Outskirts,Tourism Worker,voice_note,Repair services take too long,Home appliance repair,Repair,Medium,Call city technician,Very dissatisfied,No,0 AED,Not urgent,Daily,In-person service,People wait too long for repair workers to come from the city.,2026-05-11,medium,very dissatisfied,no,not urgent,daily,0 aed,3,1,0.0,1,4,0,5,Repair services take too long. Home appliance repair. Call city technician. People wait too long for repair workers to come from the city.
R000131,35-44,Female,Ras Al Khaimah Rural Area,Teacher,voice_note,Few repair services,AC repair service,Repair,Medium,Call city technician,Neutral,Yes,31-50 AED,Very urgent,Weekly,Community center,Home maintenance is expensive because providers are far away.,2026-05-14,medium,neutral,yes,very urgent,weekly,31-50 aed,3,3,1.0,5,3,40,3,Few repair services. AC repair service. Call city technician. Home maintenance is expensive because providers are far away.
R000134,55+,Male,Ras Al Khaimah Rural Area,Small Business Owner,paper_form,Hard to find trusted technicians,AC repair service,Repair,High,Call city technician,Dissatisfied,Yes,100+ AED,Soon,Weekly,WhatsApp,People wait too long for repair workers to come from the city.,2026-05-01,high,dissatisfied,yes,soon,weekly,100+ aed,5,2,1.0,3,3,120,4,Hard to find trusted technicians. AC repair service. Call city technician. People wait too long for repair workers to come from the city.
R000135,55+,Male,Ghayathi,Teacher,qr_survey,No nearby appliance repair,AC repair service,Repair,Low,Replace item,Very satisfied,No,0 AED,Soon,Rarely,Website,People wait too long for repair workers to come from the city.,2026-06-12,low,very satisfied,no,soon,rarely,0 aed,1,5,0.0,3,1,0,1,No nearby appliance repair. AC repair service. Replace item. People wait too long for repair workers to come from the city.
R000136,25-34,Male,Ghayathi,Homemaker,voice_note,Hard to find trusted technicians,Home appliance repair,Repair,High,Ask neighbors,Dissatisfied,No,0 AED,Soon,Weekly,In-person service,It is hard to find someone nearby to repair appliances.,2026-04-12,high,dissatisfied,no,soon,weekly,0 aed,5,2,0.0,3,3,0,4,Hard to find trusted technicians. Home appliance repair. Ask neighbors. It is hard to find someone nearby to repair appliances.
R000139,25-34,Prefer Not To Say,Kalba,Homemaker,voice_note,Repair services take too long,Home appliance repair,Repair,High,Replace item,Dissatisfied,Yes,31-50 AED,Very urgent,Weekly,Website,A trusted local technician service would be useful.,2026-05-10,high,dissatisfied,yes,very urgent,weekly,31-50 aed,5,2,1.0,5,3,40,4,Repair services take too long. Home appliance repair. Replace item. A trusted local technician service would be useful.
R000142,25-34,Male,Liwa,Retired,qr_survey,Hard to find trusted technicians,AC repair service,Repair,Medium,Call city technician,Satisfied,Maybe,10-30 AED,Very urgent,Weekly,Phone call,It is hard to find someone nearby to repair appliances.,2026-06-15,medium,satisfied,maybe,very urgent,weekly,10-30 aed,3,4,0.5,5,3,20,2,Hard to find trusted technicians. AC repair service. Call city technician. It is hard to find someone nearby to repair appliances.
R000143,18-24,Prefer Not To Say,Ras Al Khaimah Rural Area,Small Business Owner,shop_owner_note,No nearby appliance repair,Mobile repair technician,Repair,High,Wait several days,Dissatisfied,Maybe,31-50 AED,Not urgent,Weekly,WhatsApp,Home maintenance is expensive because providers are far away.,2026-06-15,high,dissatisfied,maybe,not urgent,weekly,31-50 aed,5,2,0.5,1,3,40,4,No nearby appliance repair. Mobile repair technician. Wait several days. Home maintenance is expensive because providers are far away.
R000144,35-44,Male,Kalba,Driver,voice_note,No nearby appliance repair,Home appliance repair,Repair,Medium,Replace item,Dissatisfied,Maybe,10-30 AED,Soon,Weekly,Website,People wait too long for repair workers to come from the city.,2026-06-13,medium,dissatisfied,maybe,soon,weekly,10-30 aed,3,2,0.5,3,3,20,4,No nearby appliance repair. Home appliance repair. Replace item. People wait too long for repair workers to come from the city.
R000150,55+,Prefer Not To Say,Al Ain Outskirts,Small Business Owner,shop_owner_note,No nearby appliance repair,Local maintenance service,Repair,Low,Replace item,Dissatisfied,Maybe,100+ AED,Soon,Daily,Phone call,It is hard to find someone nearby to repair appliances.,2026-04-12,low,dissatisfied,maybe,soon,daily,100+ aed,1,2,0.5,3,4,120,4,No nearby appliance repair. Local maintenance service. Replace item. It is hard to find someone nearby to repair appliances.
R000156,18-24,Male,Liwa,Homemaker,voice_note,Repair services take too long,Home appliance repair,Repair,High,Replace item,Dissatisfied,Yes,31-50 AED,Very urgent,Monthly,Delivery service,People wait too long for repair workers to come from the city.,2026-04-23,high,dissatisfied,yes,very urgent,monthly,31-50 aed,5,2,1.0,5,2,40,4,Repair services take too long. Home appliance repair. Replace item. People wait too long for repair workers to come from the city.
R000166,55+,Female,Ghayathi,Driver,shop_owner_note,Few repair services,AC repair service,Repair,High,Call city technician,Neutral,Yes,10-30 AED,Soon,Monthly,Delivery service,It is hard to find someone nearby to repair appliances.,2026-05-16,high,neutral,yes,soon,monthly,10-30 aed,5,3,1.0,3,2,20,3,Few repair services. AC repair service. Call city technician. It is hard to find someone nearby to repair appliances.
R000168,35-44,Male,Ghayathi,Retired,paper_form,Hard to find trusted technicians,Local maintenance service,Repair,Medium,Call city technician,Very dissatisfied,Maybe,51-100 AED,Not urgent,Daily,Community center,It is hard to find someone nearby to repair appliances.,2026-04-29,medium,very dissatisfied,maybe,not urgent,daily,51-100 aed,3,1,0.5,1,4,75,5,Hard to find trusted technicians. Local maintenance service. Call city technician. It is hard to find someone nearby to repair appliances.
R000170,55+,Male,Ras Al Khaimah Rural Area,Homemaker,qr_survey,Repair services take too long,Mobile repair technician,Repair,High,Wait several days,Very dissatisfied,Yes,0 AED,Soon,Monthly,Community center,It is hard to find someone nearby to repair appliances.,2026-04-01,high,very dissatisfied,yes,soon,monthly,0 aed,5,1,1.0,3,2,0,5,Repair services take too long. Mobile repair technician. Wait several days. It is hard to find someone nearby to repair appliances.
R000172,18-24,Prefer Not To Say,Al Madam,Student,shop_owner_note,Hard to find trusted technicians,Local maintenance service,Repair,Medium,Wait several days,Dissatisfied,Maybe,10-30 AED,Very urgent,Weekly,Website,Home maintenance is expensive because providers are far away.,2026-06-14,medium,dissatisfied,maybe,very urgent,weekly,10-30 aed,3,2,0.5,5,3,20,4,Hard to find trusted technicians. Local maintenance service. Wait several days. Home maintenance is expensive because providers are far away.
R000180,35-44,Prefer Not To Say,Ghayathi,Teacher,voice_note,Repair services take too long,Home appliance repair,Repair,High,Replace item,Neutral,Maybe,51-100 AED,Soon,Monthly,In-person service,People wait too long for repair workers to come from the city.,2026-06-09,high,neutral,maybe,soon,monthly,51-100 aed,5,3,0.5,3,2,75,3,Repair services take too long. Home appliance repair. Replace item. People wait too long for repair workers to come from the city.
R000206,45-54,Female,Masfout,Tourism Worker,qr_survey,Hard to find trusted technicians,Local maintenance service,Repair,Low,Wait several days,Dissatisfied,Yes,10-30 AED,Very urgent,Monthly,WhatsApp,A trusted local technician service would be useful.,2026-06-13,low,dissatisfied,yes,very urgent,monthly,10-30 aed,1,2,1.0,5,2,20,4,Hard to find trusted technicians. Local maintenance service. Wait several days. A trusted local technician service would be useful.
R000222,55+,Female,Hatta,Driver,interview,Repair services take too long,Mobile repair technician,Repair,Medium,Replace item,Dissatisfied,No,0 AED,Soon,Monthly,Community center,Home maintenance is expensive because providers are far away.,2026-06-14,medium,dissatisfied,no,soon,monthly,0 aed,3,2,0.0,3,2,0,4,Repair services take too long. Mobile repair technician. Replace item. Home maintenance is expensive because providers are far away.
R000224,25-34,Male,Al Madam,Small Business Owner,paper_form,No nearby appliance repair,Local maintenance service,Repair,High,Replace item,Very satisfied,Yes,51-100 AED,Soon,Daily,WhatsApp,Home maintenance is expensive because providers are far away.,2026-05-27,high,very satisfied,yes,soon,daily,51-100 aed,5,5,1.0,3,4,75,1,No nearby appliance repair. Local maintenance service. Replace item. Home maintenance is expensive because providers are far away.
R000228,35-44,Prefer Not To Say,Hatta,Employee,shop_owner_note,Few repair services,Local maintenance service,Repair,High,Replace item,Very dissatisfied,Yes,31-50 AED,Soon,Weekly,WhatsApp,A trusted local technician service would be useful.,2026-04-23,high,very dissatisfied,yes,soon,weekly,31-50 aed,5,1,1.0,3,3,40,5,Few repair services. Local maintenance service. Replace item. A trusted local technician service would be useful.
R000231,35-44,Prefer Not To Say,Ras Al Khaimah Rural Area,Farmer,paper_form,Hard to find trusted technicians,Mobile repair technician,Repair,High,Replace item,Neutral,Yes,10-30 AED,Very urgent,Daily,WhatsApp,Home maintenance is expensive because providers are far away.,2026-06-19,high,neutral,yes,very urgent,daily,10-30 aed,5,3,1.0,5,4,20,3,Hard to find trusted technicians. Mobile repair technician. Replace item. Home maintenance is expensive because providers are far away.
R000236,35-44,Female,Kalba,Teacher,paper_form,Hard to find trusted technicians,Mobile repair technician,Repair,High,Ask neighbors,Satisfied,No,0 AED,Very urgent,Weekly,In-person service,People wait too long for repair workers to come from the city.,2026-04-02,high,satisfied,no,very urgent,weekly,0 aed,5,4,0.0,5,3,0,2,Hard to find trusted technicians. Mobile repair technician. Ask neighbors. People wait too long for repair workers to come from the city.
R000240,18-24,Female,Kalba,Student,paper_form,Repair services take too long,Home appliance repair,Repair,Low,Replace item,Dissatisfied,Yes,51-100 AED,Soon,Rarely,Website,People wait too long for repair workers to come from the city.,2026-06-24,low,dissatisfied,yes,soon,rarely,51-100 aed,1,2,1.0,3,1,75,4,Repair services take too long. Home appliance repair. Replace item. People wait too long for repair workers to come from the city.
R000243,45-54,Female,Ras Al Khaimah Rural Area,Retired,paper_form,Hard to find trusted technicians,Home appliance repair,Repair,High,Replace item,Neutral,Maybe,51-100 AED,Not urgent,Rarely,Delivery service,It is hard to find someone nearby to repair appliances.,2026-05-10,high,neutral,maybe,not urgent,rarely,51-100 aed,5,3,0.5,1,1,75,3,Hard to find trusted technicians. Home appliance repair. Replace item. It is hard to find someone nearby to repair appliances.
R000247,25-34,Male,Ras Al Khaimah Rural Area,Teacher,paper_form,Hard to find trusted technicians,Mobile repair technician,Repair,Low,Wait several days,Dissatisfied,Maybe,10-30 AED,Very urgent,Daily,Community center,It is hard to find someone nearby to repair appliances.,2026-06-07,low,dissatisfied,maybe,very urgent,daily,10-30 aed,1,2,0.5,5,4,20,4,Hard to find trusted technicians. Mobile repair technician. Wait several days. It is hard to find someone nearby to repair appliances.
R000252,45-54,Female,Khor Fakkan Outskirts,Tourism Worker,shop_owner_note,No nearby appliance repair,Local maintenance service,Repair,High,Ask neighbors,Dissatisfied,No,0 AED,Not urgent,Weekly,In-person service,Home maintenance is expensive because providers are far away.,2026-06-23,high,dissatisfied,no,not urgent,weekly,0 aed,5,2,0.0,1,3,0,4,No nearby appliance repair. Local maintenance service. Ask neighbors. Home maintenance is expensive because providers are far away.
R000265,25-34,Male,Masfout,Employee,interview,Repair services take too long,AC repair service,Repair,High,Wait several days,Dissatisfied,No,0 AED,Soon,Weekly,Community center,People wait too long for repair workers to come from the city.,2026-06-10,high,dissatisfied,no,soon,weekly,0 aed,5,2,0.0,3,3,0,4,Repair services take too long. AC repair service. Wait several days. People wait too long for repair workers to come from the city.
R000266,55+,Female,Kalba,Farmer,voice_note,Repair services take too long,Local maintenance service,Repair,Low,Ask neighbors,Dissatisfied,No,0 AED,Very urgent,Monthly,Website,A trusted local technician service would be useful.,2026-05-01,low,dissatisfied,no,very urgent,monthly,0 aed,1,2,0.0,5,2,0,4,Repair services take too long. Local maintenance service. Ask neighbors. A trusted local technician service would be useful.
R000273,35-44,Prefer Not To Say,Masfout,Student,interview,Hard to find trusted technicians,Mobile repair technician,Repair,Medium,Replace item,Dissatisfied,Maybe,10-30 AED,Soon,Weekly,WhatsApp,Home maintenance is expensive because providers are far away.,2026-06-19,medium,dissatisfied,maybe,soon,weekly,10-30 aed,3,2,0.5,3,3,20,4,Hard to find trusted technicians. Mobile repair technician. Replace item. Home maintenance is expensive because providers are far away.
R000280,35-44,Prefer Not To Say,Khor Fakkan Outskirts,Teacher,shop_owner_note,Repair services take too long,AC repair service,Repair,Medium,Ask neighbors,Dissatisfied,Yes,31-50 AED,Very urgent,Daily,Phone call,Home maintenance is expensive because providers are far away.,2026-06-23,medium,dissatisfied,yes,very urgent,daily,31-50 aed,3,2,1.0,5,4,40,4,Repair services take too long. AC repair service. Ask neighbors. Home maintenance is expensive because providers are far away.
R000295,25-34,Prefer Not To Say,Al Ain Outskirts,Tourism Worker,shop_owner_note,No nearby appliance repair,Home appliance repair,Repair,Medium,Wait several days,Dissatisfied,Yes,51-100 AED,Not urgent,Weekly,Website,A trusted local technician service would be useful.,2026-05-30,medium,dissatisfied,yes,not urgent,weekly,51-100 aed,3,2,1.0,1,3,75,4,No nearby appliance repair. Home appliance repair. Wait several days. A trusted local technician service would be useful.
R000300,55+,Female,Masfout,Student,paper_form,No nearby appliance repair,Home appliance repair,Repair,Medium,Replace item,Neutral,Yes,10-30 AED,Not urgent,Daily,WhatsApp,People wait too long for repair workers to come from the city.,2026-05-28,medium,neutral,yes,not urgent,daily,10-30 aed,3,3,1.0,1,4,20,3,No nearby appliance repair. Home appliance repair. Replace item. People wait too long for repair workers to come from the city.
R000308,25-34,Prefer Not To Say,Khor Fakkan Outskirts,Shop Owner,qr_survey,No nearby appliance repair,Local maintenance service,Repair,High,Ask neighbors,Very dissatisfied,Yes,51-100 AED,Very urgent,Monthly,In-person service,A trusted local technician service would be useful.,2026-04-01,high,very dissatisfied,yes,very urgent,monthly,51-100 aed,5,1,1.0,5,2,75,5,No nearby appliance repair. Local maintenance service. Ask neighbors. A trusted local technician service would be useful.
R000318,45-54,Prefer Not To Say,Al Madam,Small Business Owner,qr_survey,No nearby appliance repair,Local maintenance service,Repair,Medium,Replace item,Neutral,Maybe,51-100 AED,Very urgent,Weekly,Phone call,Home maintenance is expensive because providers are far away.,2026-04-03,medium,neutral,maybe,very urgent,weekly,51-100 aed,3,3,0.5,5,3,75,3,No nearby appliance repair. Local maintenance service. Replace item. Home maintenance is expensive because providers are far away.
R000324,55+,Prefer Not To Say,Hatta,Tourism Worker,interview,Repair services take too long,Local maintenance service,Repair,Medium,Ask neighbors,Very dissatisfied,No,0 AED,Not urgent,Weekly,WhatsApp,People wait too long for repair workers to come from the city.,2026-04-22,medium,very dissatisfied,no,not urgent,weekly,0 aed,3,1,0.0,1,3,0,5,Repair services take too long. Local maintenance service. Ask neighbors. People wait too long for repair workers to come from the city.
R000331,45-54,Female,Hatta,Driver,shop_owner_note,No nearby appliance repair,Home appliance repair,Repair,Medium,Replace item,Neutral,No,0 AED,Soon,Weekly,WhatsApp,People wait too long for repair workers to come from the city.,2026-04-14,medium,neutral,no,soon,weekly,0 aed,3,3,0.0,3,3,0,3,No nearby appliance repair. Home appliance repair. Replace item. People wait too long for repair workers to come from the city.
R000343,45-54,Male,Khor Fakkan Outskirts,Student,qr_survey,No nearby appliance repair,Mobile repair technician,Repair,Low,Call city technician,Satisfied,Yes,10-30 AED,Not urgent,Monthly,Mobile app,Home maintenance is expensive because providers are far away.,2026-05-05,low,satisfied,yes,not urgent,monthly,10-30 aed,1,4,1.0,1,2,20,2,No nearby appliance repair. Mobile repair technician. Call city technician. Home maintenance is expensive because providers are far away.
R000346,18-24,Male,Masfout,Driver,qr_survey,Few repair services,AC repair service,Repair,High,Replace item,Very dissatisfied,Yes,100+ AED,Very urgent,Daily,Website,A trusted local technician service would be useful.,2026-04-16,high,very dissatisfied,yes,very urgent,daily,100+ aed,5,1,1.0,5,4,120,5,Few repair services. AC repair service. Replace item. A trusted local technician service would be useful.
R000358,25-34,Prefer Not To Say,Masfout,Homemaker,shop_owner_note,Hard to find trusted technicians,Local maintenance service,Repair,Medium,Ask neighbors,Satisfied,No,0 AED,Very urgent,Monthly,WhatsApp,It is hard to find someone nearby to repair appliances.,2026-04-15,medium,satisfied,no,very urgent,monthly,0 aed,3,4,0.0,5,2,0,2,Hard to find trusted technicians. Local maintenance service. Ask neighbors. It is hard to find someone nearby to repair appliances.
R000359,35-44,Female,Dibba,Student,paper_form,Few repair services,Home appliance repair,Repair,Medium,Call city technician,Very dissatisfied,Maybe,100+ AED,Not urgent,Daily,Community center,People wait too long for repair workers to come from the city.,2026-03-28,medium,very dissatisfied,maybe,not urgent,daily,100+ aed,3,1,0.5,1,4,120,5,Few repair services. Home appliance repair. Call city technician. People wait too long for repair workers to come from the city.
R000362,35-44,Female,Al Madam,Tourism Worker,qr_survey,No nearby appliance repair,AC repair service,Repair,High,Replace item,Satisfied,Maybe,100+ AED,Not urgent,Weekly,Phone call,Home maintenance is expensive because providers are far away.,2026-06-24,high,satisfied,maybe,not urgent,weekly,100+ aed,5,4,0.5,1,3,120,2,No nearby appliance repair. AC repair service. Replace item. Home maintenance is expensive because providers are far away.
R000385,18-24,Female,Al Madam,Student,qr_survey,Hard to find trusted technicians,Local maintenance service,Repair,High,Call city technician,Very dissatisfied,Yes,10-30 AED,Soon,Weekly,Community center,People wait too long for repair workers to come from the city.,2026-06-18,high,very dissatisfied,yes,soon,weekly,10-30 aed,5,1,1.0,3,3,20,5,Hard to find trusted technicians. Local maintenance service. Call city technician. People wait too long for repair workers to come from the city.
R000386,18-24,Female,Al Ain Outskirts,Teacher,shop_owner_note,Repair services take too long,Home appliance repair,Repair,High,Call city technician,Neutral,Yes,0 AED,Very urgent,Weekly,Community center,People wait too long for repair workers to come from the city.,2026-03-28,high,neutral,yes,very urgent,weekly,0 aed,5,3,1.0,5,3,0,3,Repair services take too long. Home appliance repair. Call city technician. People wait too long for repair workers to come from the city.
R000395,45-54,Male,Khor Fakkan Outskirts,Small Business Owner,paper_form,Hard to find trusted technicians,AC repair service,Repair,Medium,Ask neighbors,Very satisfied,Maybe,31-50 AED,Soon,Rarely,Website,It is hard to find someone nearby to repair appliances.,2026-04-05,medium,very satisfied,maybe,soon,rarely,31-50 aed,3,5,0.5,3,1,40,1,Hard to find trusted technicians. AC repair service. Ask neighbors. It is hard to find someone nearby to repair appliances.
R000397,45-54,Male,Ras Al Khaimah Rural Area,Shop Owner,voice_note,No nearby appliance repair,Mobile repair technician,Repair,High,Wait several days,Satisfied,Yes,100+ AED,Very urgent,Monthly,Mobile app,It is hard to find someone nearby to repair appliances.,2026-05-22,high,satisfied,yes,very urgent,monthly,100+ aed,5,4,1.0,5,2,120,2,No nearby appliance repair. Mobile repair technician. Wait several days. It is hard to find someone nearby to repair appliances.
R000444,35-44,Male,Khor Fakkan Outskirts,Employee,interview,Repair services take too long,Local maintenance service,Repair,High,Wait several days,Very dissatisfied,Maybe,10-30 AED,Very urgent,Daily,Community center,Home maintenance is expensive because providers are far away.,2026-05-25,high,very dissatisfied,maybe,very urgent,daily,10-30 aed,5,1,0.5,5,4,20,5,Repair services take too long. Local maintenance service. Wait several days. Home maintenance is expensive because providers are far away.
R000448,25-34,Female,Al Madam,Small Business Owner,paper_form,No nearby appliance repair,Local maintenance service,Repair,High,Ask neighbors,Satisfied,Maybe,31-50 AED,Not urgent,Weekly,WhatsApp,It is hard to find someone nearby to repair appliances.,2026-05-06,high,satisfied,maybe,not urgent,weekly,31-50 aed,5,4,0.5,1,3,40,2,No nearby appliance repair. Local maintenance service. Ask neighbors. It is hard to find someone nearby to repair appliances.
R000461,55+,Male,Kalba,Homemaker,shop_owner_note,Hard to find trusted technicians,Home appliance repair,Repair,High,Ask neighbors,Satisfied,Yes,10-30 AED,Very urgent,Weekly,Mobile app,It is hard to find someone nearby to repair appliances.,2026-05-19,high,satisfied,yes,very urgent,weekly,10-30 aed,5,4,1.0,5,3,20,2,Hard to find trusted technicians. Home appliance repair. Ask neighbors. It is hard to find someone nearby to repair appliances.
R000464,45-54,Prefer Not To Say,Ghayathi,Driver,interview,Repair services take too long,Mobile repair technician,Repair,Medium,Call city technician,Satisfied,Maybe,10-30 AED,Very urgent,Monthly,Phone call,It is hard to find someone nearby to repair appliances.,2026-04-23,medium,satisfied,maybe,very urgent,monthly,10-30 aed,3,4,0.5,5,2,20,2,Repair services take too long. Mobile repair technician. Call city technician. It is hard to find someone nearby to repair appliances.
R000467,25-34,Prefer Not To Say,Al Madam,Farmer,qr_survey,Hard to find trusted technicians,Home appliance repair,Repair,Medium,Wait several days,Very dissatisfied,Maybe,10-30 AED,Soon,Monthly,In-person service,A trusted local technician service would be useful.,2026-05-10,medium,very dissatisfied,maybe,soon,monthly,10-30 aed,3,1,0.5,3,2,20,5,Hard to find trusted technicians. Home appliance repair. Wait several days. A trusted local technician service would be useful.
