response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name
DEMO_R0011,25-34,female,Al Qua'a,student,volunteer,Medicine pickup from Al Ain is inconvenient.,medicine pickup and delivery,Mobile Healthcare,5,monthly,volunteer-assisted form,251-500 AED,A medicine pickup service from pharmacies in Al Ain would save travel time.,2026-04-24,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0012,55-64,male,Al Sila,tourism guide,volunteer,Internet issues are repeated but hard to document clearly.,connectivity issue reporting dashboard,Utilities & Maintenance,5,weekly,web dashboard,101-250 AED,A simple issue tracker could show repeated connectivity problems by area.,2026-06-27,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0013,35-44,male,Al Qua'a,livestock supplier,volunteer,Solar-powered farm equipment needs maintenance but providers are far away.,solar farm equipment repair scheduling,Farm Operations,5,occasionally,WhatsApp bot,101-250 AED,A booking tool for solar and irrigation technicians could help farms schedule repairs faster.,2026-06-19,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0014,55-64,male,Al Qua'a,driver,volunteer,Home maintenance providers are difficult to find quickly in remote areas.,verified mobile maintenance directory,Utilities & Maintenance,5,weekly,WhatsApp bot,101-250 AED,"A verified directory for AC repair, plumbing, electrical, and farm maintenance would help households.",2026-03-31,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0015,35-44,female,Al Ain outskirts,tourism guide,other,Tourists ask where to camp safely and how to find local guides.,stargazing visitor information hub,Tourism & Stargazing,4,daily,WhatsApp bot,0-50 AED,"A local tourism hub could show safe routes, guide contacts, camping rules, and local sellers.",2026-04-18,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0016,18-24,male,Al Qua'a,craft seller,volunteer,Visitors come to Al Qua'a for dark skies but local tourism services are informal.,guided stargazing experience booking,Tourism & Stargazing,1,weekly,phone call service,51-100 AED,"A guided stargazing package with local guides, telescopes, and camping support could create income.",2026-04-26,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0017,55-64,female,Liwa,homemaker,volunteer,Visitors come to Al Qua'a for dark skies but local tourism services are informal.,guided stargazing experience booking,Tourism & Stargazing,4,weekly,WhatsApp bot,251-500 AED,"A guided stargazing package with local guides, telescopes, and camping support could create income.",2026-05-13,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0018,65+,prefer not to say,Al Sila,camel farm owner,volunteer,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,Market Access,4,weekly,web dashboard,51-100 AED,A WhatsApp catalog tool could help local sellers organize orders and understand demand.,2026-06-03,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0019,25-34,male,Al Ain outskirts,camel farm worker,survey,Irrigation and water pump issues take too long to repair on remote farms.,farm equipment maintenance coordination,Farm Operations,5,weekly,WhatsApp bot,1000+ AED,"A maintenance coordination service for irrigation, pumps, and farm equipment would reduce downtime.",2026-06-26,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0020,45-54,male,Al Qua'a,driver,government information,Home maintenance providers are difficult to find quickly in remote areas.,verified mobile maintenance directory,Utilities & Maintenance,5,daily,WhatsApp bot,101-250 AED,"A verified directory for AC repair, plumbing, electrical, and farm maintenance would help households.",2026-04-30,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0021,55-64,prefer not to say,Masfout,livestock supplier,government information,Families want to sell food and handmade products to astronomy visitors.,visitor marketplace for stargazing nights,Tourism & Stargazing,3,weekly,volunteer-assisted form,101-250 AED,"A marketplace for local food, dates, crafts, and camel products could serve weekend visitors.",2026-04-19,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0022,55-64,prefer not to say,Al Qua'a,teacher,volunteer,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,Veterinary & Camel Care,5,daily,WhatsApp bot,101-250 AED,A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.,2026-04-02,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0023,25-34,prefer not to say,Al Qua'a,craft seller,survey,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,5,weekly,SMS updates,101-250 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-05-25,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0024,25-34,prefer not to say,Al Qua'a,home-based food seller,survey,Families want to sell food and handmade products to astronomy visitors.,visitor marketplace for stargazing nights,Tourism & Stargazing,4,occasionally,volunteer-assisted form,0-50 AED,"A marketplace for local food, dates, crafts, and camel products could serve weekend visitors.",2026-04-09,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0025,55-64,female,Al Qua'a,small grocery owner,volunteer,Home maintenance providers are difficult to find quickly in remote areas.,verified mobile maintenance directory,Utilities & Maintenance,4,daily,mobile app,51-100 AED,"A verified directory for AC repair, plumbing, electrical, and farm maintenance would help households.",2026-05-02,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0026,65+,prefer not to say,Sweihan,mechanic,volunteer,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,5,weekly,in-person kiosk,1000+ AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-06-10,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0027,35-44,prefer not to say,Liwa,date farmer,volunteer,Visitors come to Al Qua'a for dark skies but local tourism services are informal.,guided stargazing experience booking,Tourism & Stargazing,4,monthly,web dashboard,101-250 AED,"A guided stargazing package with local guides, telescopes, and camping support could create income.",2026-05-26,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0028,35-44,male,Al Qua'a,student,volunteer,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,5,weekly,mobile app,251-500 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-04-18,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0029,25-34,prefer not to say,Al Qua'a,homemaker,volunteer,Transport to services in Al Ain is difficult for families and workers.,scheduled rural shuttle,Rural Transport,4,weekly,phone call service,0-50 AED,"A scheduled shuttle to Al Ain for errands, clinics, and supplies would help the community.",2026-05-12,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0030,65+,male,Al Madam,small grocery owner,survey,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,4,weekly,volunteer-assisted form,1000+ AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-06-08,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0031,25-34,female,Al Sila,mechanic,volunteer,Home maintenance providers are difficult to find quickly in remote areas.,verified mobile maintenance directory,Utilities & Maintenance,5,weekly,volunteer-assisted form,251-500 AED,"A verified directory for AC repair, plumbing, electrical, and farm maintenance would help households.",2026-05-27,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0032,45-54,male,Al Qua'a,homemaker,volunteer,Families want to sell food and handmade products to astronomy visitors.,visitor marketplace for stargazing nights,Tourism & Stargazing,5,weekly,web dashboard,501-1000 AED,"A marketplace for local food, dates, crafts, and camel products could serve weekend visitors.",2026-05-30,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0033,18-24,female,Al Ain outskirts,camel farm worker,survey,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,same-day mobile camel vet booking,Veterinary & Camel Care,4,monthly,web dashboard,51-100 AED,A WhatsApp booking service for camel vets would help farm families avoid long delays.,2026-06-24,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0034,35-44,male,Al Qua'a,livestock supplier,volunteer,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,Veterinary & Camel Care,4,monthly,mobile app,101-250 AED,A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.,2026-04-23,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0035,45-54,male,Al Qua'a,camel farm owner,survey,Farmers cannot easily compare camel feed suppliers or veterinary costs.,camel feed and vet price comparison,Veterinary & Camel Care,5,monthly,volunteer-assisted form,251-500 AED,"A simple comparison tool for feed, vet visits, and medicine could reduce farm costs.",2026-06-02,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0036,55-64,female,Masfout,livestock supplier,survey,Small sellers rely on word of mouth and cannot reach buyers in Al Ain or Abu Dhabi.,"marketplace for camel milk, dates, and local products",Market Access,3,occasionally,phone call service,251-500 AED,"A community marketplace could help families sell camel milk, dates, crafts, and home food.",2026-05-17,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0037,65+,female,Sweihan,camel farm worker,government information,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,Market Access,5,weekly,mobile app,101-250 AED,A WhatsApp catalog tool could help local sellers organize orders and understand demand.,2026-06-27,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0038,65+,female,Al Ain outskirts,tourism guide,survey,Visitors come to Al Qua'a for dark skies but local tourism services are informal.,guided stargazing experience booking,Tourism & Stargazing,4,daily,phone call service,501-1000 AED,"A guided stargazing package with local guides, telescopes, and camping support could create income.",2026-06-06,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0039,55-64,female,Al Ain outskirts,healthcare worker,volunteer,Delivery drivers do not consistently serve remote farms.,rural delivery network,Rural Transport,5,daily,mobile app,251-500 AED,"A shared delivery route could bring groceries, pharmacy items, and parcels to remote farms.",2026-06-09,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0040,18-24,female,Hatta,student,survey,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,same-day mobile camel vet booking,Veterinary & Camel Care,5,daily,in-person kiosk,101-250 AED,A WhatsApp booking service for camel vets would help farm families avoid long delays.,2026-05-27,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0041,18-24,female,Al Qua'a,healthcare worker,volunteer,Farmers cannot easily compare camel feed suppliers or veterinary costs.,camel feed and vet price comparison,Veterinary & Camel Care,5,monthly,phone call service,101-250 AED,"A simple comparison tool for feed, vet visits, and medicine could reduce farm costs.",2026-06-12,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0042,55-64,female,Al Wathba,livestock supplier,other,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,Market Access,5,weekly,in-person kiosk,101-250 AED,A WhatsApp catalog tool could help local sellers organize orders and understand demand.,2026-04-18,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0043,35-44,male,Liwa,small grocery owner,government information,Small sellers rely on word of mouth and cannot reach buyers in Al Ain or Abu Dhabi.,"marketplace for camel milk, dates, and local products",Market Access,3,monthly,phone call service,51-100 AED,"A community marketplace could help families sell camel milk, dates, crafts, and home food.",2026-05-02,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0044,55-64,male,Al Qua'a,date farmer,volunteer,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,Veterinary & Camel Care,3,monthly,in-person kiosk,0-50 AED,A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.,2026-05-06,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0045,45-54,female,Al Ain outskirts,camel farm worker,other,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,Market Access,4,monthly,web dashboard,251-500 AED,A WhatsApp catalog tool could help local sellers organize orders and understand demand.,2026-05-10,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0046,45-54,prefer not to say,Al Qua'a,date farmer,government information,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,Market Access,4,weekly,WhatsApp bot,51-100 AED,A WhatsApp catalog tool could help local sellers organize orders and understand demand.,2026-05-03,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0047,45-54,prefer not to say,Al Qua'a,tourism guide,volunteer,Solar-powered farm equipment needs maintenance but providers are far away.,solar farm equipment repair scheduling,Farm Operations,4,daily,SMS updates,0-50 AED,A booking tool for solar and irrigation technicians could help farms schedule repairs faster.,2026-05-08,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0048,25-34,female,Al Qua'a,driver,volunteer,Farmers sometimes need equipment for short periods but cannot justify buying it.,farm equipment rental coordination,Farm Operations,3,weekly,phone call service,51-100 AED,Equipment rental coordination would help small farms access tools without large upfront costs.,2026-05-10,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0049,18-24,prefer not to say,Al Qua'a,camel farm worker,survey,Tourists ask where to camp safely and how to find local guides.,stargazing visitor information hub,Tourism & Stargazing,5,weekly,in-person kiosk,251-500 AED,"A local tourism hub could show safe routes, guide contacts, camping rules, and local sellers.",2026-04-05,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0050,18-24,prefer not to say,Masfout,camel farm worker,volunteer,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,same-day mobile camel vet booking,Veterinary & Camel Care,3,monthly,SMS updates,51-100 AED,A WhatsApp booking service for camel vets would help farm families avoid long delays.,2026-03-30,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0051,65+,prefer not to say,Al Qua'a,tourism guide,volunteer,Tourists ask where to camp safely and how to find local guides.,stargazing visitor information hub,Tourism & Stargazing,5,occasionally,WhatsApp bot,0-50 AED,"A local tourism hub could show safe routes, guide contacts, camping rules, and local sellers.",2026-05-19,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0052,18-24,prefer not to say,Al Ain outskirts,craft seller,government information,Solar-powered farm equipment needs maintenance but providers are far away.,solar farm equipment repair scheduling,Farm Operations,5,daily,web dashboard,501-1000 AED,A booking tool for solar and irrigation technicians could help farms schedule repairs faster.,2026-04-12,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0053,65+,female,Al Qua'a,student,volunteer,"Clinic visits require long travel, especially for elderly residents and farm workers.",mobile health checkup visits,Mobile Healthcare,5,daily,phone call service,101-250 AED,Mobile checkup visits would help residents get basic care without frequent long trips.,2026-05-03,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0054,25-34,prefer not to say,Liwa,student,survey,Internet issues are repeated but hard to document clearly.,connectivity issue reporting dashboard,Utilities & Maintenance,5,weekly,volunteer-assisted form,251-500 AED,A simple issue tracker could show repeated connectivity problems by area.,2026-04-29,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0055,25-34,male,Sweihan,camel farm worker,volunteer,Farm products are produced before sellers know what customers actually want.,local demand forecasting for farm products,Market Access,4,monthly,SMS updates,251-500 AED,A simple demand tracker could help farmers decide what to prepare before market days.,2026-05-15,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0056,35-44,female,Al Qua'a,camel farm worker,volunteer,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,Veterinary & Camel Care,4,monthly,SMS updates,101-250 AED,A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.,2026-06-03,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0057,25-34,prefer not to say,Al Ain outskirts,home-based food seller,survey,Farmers cannot easily compare camel feed suppliers or veterinary costs.,camel feed and vet price comparison,Veterinary & Camel Care,5,weekly,WhatsApp bot,51-100 AED,"A simple comparison tool for feed, vet visits, and medicine could reduce farm costs.",2026-05-07,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0058,45-54,prefer not to say,Al Wathba,teacher,survey,Delivery drivers do not consistently serve remote farms.,rural delivery network,Rural Transport,4,monthly,mobile app,251-500 AED,"A shared delivery route could bring groceries, pharmacy items, and parcels to remote farms.",2026-05-24,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0059,18-24,prefer not to say,Al Qua'a,small grocery owner,survey,Visitors come to Al Qua'a for dark skies but local tourism services are informal.,guided stargazing experience booking,Tourism & Stargazing,5,daily,WhatsApp bot,101-250 AED,"A guided stargazing package with local guides, telescopes, and camping support could create income.",2026-04-13,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0060,25-34,female,Hatta,livestock supplier,volunteer,Internet issues are repeated but hard to document clearly.,connectivity issue reporting dashboard,Utilities & Maintenance,3,daily,SMS updates,51-100 AED,A simple issue tracker could show repeated connectivity problems by area.,2026-06-21,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0061,45-54,male,Masfout,driver,government information,Farmers sometimes need equipment for short periods but cannot justify buying it.,farm equipment rental coordination,Farm Operations,4,weekly,phone call service,51-100 AED,Equipment rental coordination would help small farms access tools without large upfront costs.,2026-06-21,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0062,45-54,male,Al Qua'a,camel farm owner,survey,Tourists ask where to camp safely and how to find local guides.,stargazing visitor information hub,Tourism & Stargazing,5,daily,web dashboard,1000+ AED,"A local tourism hub could show safe routes, guide contacts, camping rules, and local sellers.",2026-06-17,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0063,55-64,prefer not to say,Sweihan,student,government information,Home maintenance providers are difficult to find quickly in remote areas.,verified mobile maintenance directory,Utilities & Maintenance,3,weekly,phone call service,101-250 AED,"A verified directory for AC repair, plumbing, electrical, and farm maintenance would help households.",2026-04-13,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0064,55-64,prefer not to say,Sweihan,camel farm owner,volunteer,Internet issues are repeated but hard to document clearly.,connectivity issue reporting dashboard,Utilities & Maintenance,5,weekly,mobile app,0-50 AED,A simple issue tracker could show repeated connectivity problems by area.,2026-05-28,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0065,65+,prefer not to say,Al Qua'a,student,survey,Visitors come to Al Qua'a for dark skies but local tourism services are informal.,guided stargazing experience booking,Tourism & Stargazing,1,weekly,mobile app,501-1000 AED,"A guided stargazing package with local guides, telescopes, and camping support could create income.",2026-06-18,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0066,55-64,prefer not to say,Ghayathi,healthcare worker,government information,Delivery drivers do not consistently serve remote farms.,rural delivery network,Rural Transport,3,daily,WhatsApp bot,0-50 AED,"A shared delivery route could bring groceries, pharmacy items, and parcels to remote farms.",2026-05-24,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0067,35-44,prefer not to say,Al Qua'a,mechanic,government information,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,4,weekly,WhatsApp bot,251-500 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-03-30,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0068,18-24,prefer not to say,Al Ain outskirts,small grocery owner,volunteer,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,Market Access,4,weekly,mobile app,0-50 AED,A WhatsApp catalog tool could help local sellers organize orders and understand demand.,2026-04-02,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0069,35-44,prefer not to say,Hatta,healthcare worker,volunteer,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,5,weekly,in-person kiosk,501-1000 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-06-04,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0070,18-24,female,Al Wathba,driver,volunteer,Internet issues are repeated but hard to document clearly.,connectivity issue reporting dashboard,Utilities & Maintenance,4,monthly,web dashboard,51-100 AED,A simple issue tracker could show repeated connectivity problems by area.,2026-03-31,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0071,55-64,male,Masfout,homemaker,survey,Farmers sometimes need equipment for short periods but cannot justify buying it.,farm equipment rental coordination,Farm Operations,4,weekly,volunteer-assisted form,101-250 AED,Equipment rental coordination would help small farms access tools without large upfront costs.,2026-04-23,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0072,45-54,female,Al Wathba,tourism guide,volunteer,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,4,weekly,phone call service,101-250 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-06-21,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0073,65+,female,Al Qua'a,home-based food seller,volunteer,Families want to sell food and handmade products to astronomy visitors.,visitor marketplace for stargazing nights,Tourism & Stargazing,5,weekly,mobile app,0-50 AED,"A marketplace for local food, dates, crafts, and camel products could serve weekend visitors.",2026-04-18,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0074,18-24,female,Al Qua'a,livestock supplier,other,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,Veterinary & Camel Care,5,daily,volunteer-assisted form,51-100 AED,A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.,2026-03-29,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0075,55-64,male,Hatta,home-based food seller,survey,Tourists ask where to camp safely and how to find local guides.,stargazing visitor information hub,Tourism & Stargazing,5,weekly,volunteer-assisted form,501-1000 AED,"A local tourism hub could show safe routes, guide contacts, camping rules, and local sellers.",2026-05-23,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0076,55-64,female,Al Qua'a,mechanic,government information,Medicine pickup from Al Ain is inconvenient.,medicine pickup and delivery,Mobile Healthcare,3,weekly,SMS updates,1000+ AED,A medicine pickup service from pharmacies in Al Ain would save travel time.,2026-04-26,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0077,35-44,prefer not to say,Sweihan,teacher,government information,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,4,occasionally,volunteer-assisted form,1000+ AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-05-28,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0078,35-44,prefer not to say,Al Sila,date farmer,survey,Irrigation and water pump issues take too long to repair on remote farms.,farm equipment maintenance coordination,Farm Operations,5,weekly,volunteer-assisted form,251-500 AED,"A maintenance coordination service for irrigation, pumps, and farm equipment would reduce downtime.",2026-04-05,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0079,55-64,prefer not to say,Hatta,date farmer,volunteer,Internet issues are repeated but hard to document clearly.,connectivity issue reporting dashboard,Utilities & Maintenance,2,monthly,WhatsApp bot,501-1000 AED,A simple issue tracker could show repeated connectivity problems by area.,2026-06-26,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0080,18-24,female,Al Sila,date farmer,government information,Medicine pickup from Al Ain is inconvenient.,medicine pickup and delivery,Mobile Healthcare,3,weekly,phone call service,0-50 AED,A medicine pickup service from pharmacies in Al Ain would save travel time.,2026-05-16,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0081,65+,female,Masfout,healthcare worker,government information,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,1,daily,SMS updates,501-1000 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-05-29,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0082,65+,prefer not to say,Hatta,mechanic,government information,Medicine pickup from Al Ain is inconvenient.,medicine pickup and delivery,Mobile Healthcare,4,monthly,volunteer-assisted form,0-50 AED,A medicine pickup service from pharmacies in Al Ain would save travel time.,2026-06-20,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
